"","AA","GELEES DE FRUITS","AA",""
"","AA","ABRICOTS AU SIROP","A1",""
"","AA","ANANAS","A2",""
"","AA","BIGARREAU AU SIROP","A3",""
"","AA","COCKTAIL DE FRUITS","A4",""
"","AA","COMPOTES","A5",""
"","AA","CONFITURES","A6",""
"","AA","MACEDOINE DE FRUITS","A7",""
"","AA","MARMELADES","A8",""
"","AA","FRUITS SIROP DIVERS","A9",""
"","AB","HARICOT BLANC","AA",""
"","AB","HARICOT VERT","AB",""
"","AB","MACEDOINE DE LEGUMES","AC",""
"","AB","MAIS","AD",""
"","AB","PETITS POIS","AE",""
"","AB","POIS CAROTTES","AF",""
"","AB","POIS CHICHES","AG",""
"","AB","SALSIFIS","AH",""
"","AB","TOMATES PELEES","AI",""
"","AB","ENDIVES","AJ",""
"","AB","POIREAUX","AK",""
"","AB","COEURS","AL",""
"","AB","ASPERGES","A1",""
"","AB","BETTERAVES","A2",""
"","AB","CAROTTES","A3",""
"","AB","CHAMPIGNONS","A4",""
"","AB","CHOUX BRUXELLE","A5",""
"","AB","COEUR DE CELERI","A6",""
"","AB","EPINARDS","A7",""
"","AB","FLAGEOLETS","A8",""
"","AB","ARTICHAUTS","A9",""
"","AB","HAR.BLANC TOMATE","BI",""
"","AB","POMME DE TERRE","DC",""
"","AC","CORNED BEEF","AW",""
"","AC","PATE/TERRINE/RILLETT","CF",""
"","AC","SAUCISSES","CS",""
"","AC","ALIMENTS CHIENT/CHAT","DC",""
"","AD","ANCHOIS","A1",""
"","AD","MAQUEREAU","A2",""
"","AD","SARDINES","A3",""
"","AD","THON","A4",""
"","AD","CRABES","A5",""
"","AD","CREVETTES","A6",""
"","AD","SARDINES","CQ",""
"","AD","POISSONS","OX",""
"","AD","","S3",""
"","AE","INFUSIONS THE","AA",""
"","AE","PATE A TARTINER","AB",""
"","AE","FLOCONS","AC",""
"","AE","BISCOTTES","AG",""
"","AE","BONBONS","AI",""
"","AE","CAFE,CAFE SOLUBLE","AK",""
"","AE","CONFISERIE AU CHOCO","AP",""
"","AE","","BD",""
"","AE","","BO",""
"","AE","","BQ",""
"","AE","MIEL FLEUROVENT","BV",""
"","AE","CHOCOLAT POUDRE","BY",""
"","AE","","CD",""
"","AE","","CN",""
"","AE","SUCRES","CW",""
"","AE","","DB",""
"","AE","CHEWING GUM","TE",""
"","AE","TABLETTE CHOCOLAT","TF",""
"","AF","FARINES","BD",""
"","AF","CHAPELURE","BJ",""
"","AF","LEGUMES SECS","BO",""
"","AF","PUREES","BQ",""
"","AF","PATES ALIMENTAIRES","CD",""
"","AF","RIZ","CN",""
"","AF","SEMOULE/TAPIOCA","DB",""
"","AF","COUSCOUS","DE",""
"","AF","PATES LUSTUCRU","OD",""
"","AF","RIZ UNCLE BENS","ON",""
"","AG","DESSERTS","BA",""
"","AG","LAIT","BP",""
"","AH","SALADES","AA",""
"","AH","TRIPES","AB",""
"","AH","POTAGES/SOUPES","AJ",""
"","AH","CASSOULETS","AN",""
"","AH","CHOUCROUTES","AS",""
"","AH","COUSCOUS/PAELLA","AY",""
"","AH","RATATOUILLE","BR",""
"","AH","BOEUF CUISINE","BZ",""
"","AH","POTEE FERMIERE","CK",""
"","AH","SAUCISSES PREPAREES","CT",""
"","AH","RAVIOLI","DF",""
"","AI","BEURRE BOITE","AD",""
"","AI","BEURRE BOITES","AF",""
"","AI","HUILE VEGETALE","BG",""
"","AI","HUILES","BL",""
"","AJ","BOUILLONS","AJ",""
"","AJ","CAPRES","AL",""
"","AJ","CORNICHONS","AX",""
"","AJ","KETCHUP","BM",""
"","AJ","MAYONNAISE","BU",""
"","AJ","MAYONNAISES","BV",""
"","AJ","MOUTARDE","BW",""
"","AJ","EPICES","CI",""
"","AJ","SAUCES","CR",""
"","AJ","SEL DE MER","CV",""
"","AJ","TOMATE CONCENTRE","CY",""
"","AJ","VINAIGRES","DA",""
"","AK","GATEAUX APERITIFS","AB",""
"","AK","POMME CHIPS","BF",""
"","AK","OLIVES","CA",""
"","AK","SAUCISSE COCKTAIL","CS",""
"","AL","CERELAC","AO",""
"","AL","BLEDINA","TH",""
"","AL","BLEDINE","TI",""
"","AL","JUS DE FRUITS","TJ",""
"","AL","MINI BIBERON","TK",""
"","AL","PHOSPHATINES","TL",""
"","AP","CHATS","AA",""
"","AP","CHIENS","DC",""
"","D1","ALCOOL SEC","AA",""
"","D1","ARMAGNAC","AB",""
"","D1","GIN","AC",""
"","D1","MARIE BRIZARD","CE",""
"","D1","COGNAC","DG",""
"","D1","MARTINI","DH",""
"","D1","PORTO","DI",""
"","D1","PUNCH","DJ",""
"","D1","RHUM","DK",""
"","D1","WHISKY","DL",""
"","D3","CIDRE","DN",""
"","D5","BOURGOGNE","AA",""
"","D5","BEAUJOLAIS","DP",""
"","D5","BORDEAUX","DQ",""
"","D5","CANTEVAL","DR",""
"","D5","CHABLIS","DS",""
"","D5","CHAMPAGNES","DT",""
"","D5","CORBIERES","DU",""
"","D5","ROSE DE PROVENCE","DV",""
"","D5","COTE DU RHONE","DW",""
"","D5","DUC D'ORNAN","DX",""
"","D5","GEWURZTRAMINER","DY",""
"","D5","LISTEL","DZ",""
"","D5","MEDOC","EA",""
"","D5","MUSCADET","EB",""
"","D5","SAINT EMILION","EC",""
"","D5","SYLVANER","ED",""
"","D5","VIN DE TABLE BRICK","EE",""
"","D5","VIN PAYS COLLECTIVIT","EF",""
"","D5","BORDEAUX","EG",""
"","D9","BOISSON AUX FRUITS","EG",""
"","D9","EAU MINERALE","EH",""
"","D9","JUS FRUITS/LEGUMES","EI",""
"","D9","SIROPS","EJ",""
"","D9","SUNKIST","EK",""
"","D9","TANG","EL",""
"","D9","3 ES","EM",""
"","FA","APRES RASAGE","EN",""
"","FA","MOUSSE A RASER","EO",""
"","FA","DEODORANTS","EP",""
"","FA","EAU DE COLOGNE","EQ",""
"","FA","LAME/RASOIR","ER",""
"","FA","COIFFURE","ES",""
"","FA","SOINS BEAUTE","ET",""
"","FA","","EU",""
"","FA","COR.FARME+INST.PHYTO","EX",""
"","FB","SHAMPOINGS","ES",""
"","FB","COTONS","ET",""
"","FB","CHANGE/COUCHE BEBE","EU",""
"","FB","DENTIFRICES","EV",""
"","FB","PROTECTION ANATOLE","EW",""
"","FB","COR.FARME+INST.PHYTO","EX",""
"","FB","SAVONS","FB",""
"","FB","COTON","FC",""
"","FB","MOUCHOIRS PAPIER","FD",""
"","FB","PANSEMENTS BANDES","FE",""
"","FC","EPONGES","AA",""
"","FC","CIRES","AB",""
"","FC","ROULEAU PAPIER ALIM","BU",""
"","FC","ESSUI TT,NAPPE,SERVI","EW",""
"","FC","FILTRE CAFE","EX",""
"","FC","PAPIER TOILETTE","EY",""
"","FC","SAC POUBELLE","EZ",""
"","FC","SAC CONGELATEUR","FA",""
"","FC","SAVON MENAGER","FB",""
"","FC","NETTOYANT","FD",""
"","FC","INSECTICIDE","FE",""
"","FC","PRODUIT WC","FF",""
"","FC","AMIDON","FG",""
"","FC","BALAI/BROSSE","FH",""
"","FC","NETTOYANT VITRES","FI",""
"","FC","LESSIVES","FJ",""
"","FC","ASSOUPLISSANTS","FK",""
"","FC","CASSETTE SAC","FL",""
"","FC","","FO",""
"","FC","","FR",""
"","FC","SERPILLIERES","FT",""
"","FC","MANCHE BALAI","FU",""
"","FC","PRODUIT VAISSELLE","FX",""
"","FC","PILES","GA",""
"","FC","","GC",""
"","FC","","GD",""
"","FC","DESODORISANTS","GH",""
"","N1","POMMES DE TERRE","NA",""
"","N1","OIGNONS","NB",""
"","N1","POMMES","NC",""
"","N1","RAISINS","ND",""
"","N1","FRUITS SECS","NE",""
"","N1","POIRES","NF",""
"","N1","POIVRONS","NG",""
"","N1","AIL","NH",""
"","N1","WAROTTES","NI",""
"","N1","CHOUX","NJ",""
"","N1","SALADES","NK",""
"","N1","ARTICHAUTS","NL",""
"","N1","BETTERAVES","NM",""
"","N1","CELERIS","NN",""
"","N1","CERISES","NO",""
"","N1","ENDIVES","NP",""
"","N1","KIWI","NQ",""
"","N1","LITCHIS","NR",""
"","N1","POIREAUX","NS",""
"","N1","NECTARINES","NT",""
"","N1","ORANGES","NU",""
"","N1","PECHES","NV",""
"","N1","PERSIL","NW",""
"","N1","PRUNES","NX",""
"","N1","TOMATES","NY",""
"","N1","SAPINS","NZ",""
"","N1","RADIS","N0",""
"","N1","RAISINS","PZ",""
"","N1","DATTES","QF",""
"","N1","OIRES","QH",""
"","P1","APERICUBES","ND",""
"","P1","BRIE","NF",""
"","P1","CAMEMBERTS","NG",""
"","P1","CAPRICE DES DIEUX","NH",""
"","P1","LAITS","NI",""
"","P1","MARGARINE","NJ",""
"","P1","OEUF REFRIGERE","NK",""
"","P1","ROITELET","NL",""
"","P1","SAMOS","NM",""
"","P1","TOASTINETTE","NN",""
"","P1","APERICUBES","PA",""
"","P1","BRIE","PB",""
"","P1","CAMEMBERT","PC",""
"","P1","LAIT","PD",""
"","P1","MARGARINE","PE",""
"","P1","BEURRE","PF",""
"","P1","CREME FRAICHE","PG",""
"","P1","EMMENTAL COMTE","PH",""
"","P1","DESSERT LACTE","PI",""
"","P1","BONBEL PORT SALUT ..","PJ",""
"","P1","CAPRICES DES DIEUX","PK",""
"","P1","OEUFS","PL",""
"","P1","BOURSIN","PM",""
"","P1","BRESSY'S","PN",""
"","P1","FROMAGES BLANCS","PO",""
"","P1","FROMAGES HOLLANDAIS","PP",""
"","P1","CHEVRE","PQ",""
"","P1","FROMAGES TARTINES","PR",""
"","P1","TOASTINETTES","PS",""
"","P1","PETITS SUISSES","PT",""
"","P1","ROQUEFORT","PU",""
"","P1","ROUY","PV",""
"","P1","CREME ANGLAISE","PW",""
"","P1","PYRENNEE","PX",""
"","P1","BLEU DE BRESSE","PZ",""
"","P1","SCOONY","P0",""
"","P1","RONDELE","P1",""
"","P1","SAINT MORET","P2",""
"","P1","SAINT NECTAIRE","P3",""
"","P1","SAINT PAULIN","P4",""
"","P1","FROMAGES NOEL","P5",""
"","P1","CREME FRAICHE","QL",""
"","P1","EMMENTAL","QM",""
"","P1","FROMAGE KIRI","QP",""
"","P1","FROMAGE DES PYRENEES","QR",""
"","P1","ROQUEFORT","QS",""
"","P1","LAIT AROMATISE","QT",""
"","P1","PORT SALUT","QU",""
"","P1","ROUY 220G","QW",""
"","P1","YAOURTS","QY",""
"","P1","CREME CHANTILLY","SZ",""
"","P3","BRIOCHES/PAIN LAIT","AA",""
"","P3","BROWNIES","AB",""
"","P3","BUCHES","AC",""
"","P3","CAKES","AD",""
"","P3","GAUFFRES","AE",""
"","P3","GENOISES","AF",""
"","P3","MADELEINES","AG",""
"","P3","CROISSANT/PAIN CHOCO","AI",""
"","P3","CREPES","AJ",""
"","P3","PALETS","AK",""
"","P3","QUATRE QUART","AL",""
"","P3","ROULADE","AM",""
"","P3","TARTES/TARTELETTES","AN",""
"","P3","GALETTES","AO",""
"","P3","DIVERS GATEAUX","AP",""
"","P3","BUCHE PATISSIERE","NO",""
"","P3","BAGUETTES PAINS","OP",""
"","P3","ECLAIRS","QZ",""
"","P3","FRIANDS","RA",""
"","P3","GATEAU PUR BEURRE","TA",""
"","Q1","BALLOTINES","NP",""
"","Q1","JAMBON CUISSE/EPAULE","NR",""
"","Q1","","NT",""
"","Q1","MORTADELLES","PX",""
"","Q1","ANDOUILLE","QA",""
"","Q1","BACON","QB",""
"","Q1","TERRINE PETIT MODELE","QC",""
"","Q1","SAUMURES","QD",""
"","Q1","BOUDIN","QE",""
"","Q1","CERVELAS","QF",""
"","Q1","JAMBON & EPAULES","QG",""
"","Q1","FOIE GRAS","QH",""
"","Q1","CHARCUTERIE CONGELEE","QI",""
"","Q1","TERRINE GRAND MODELE","QJ",""
"","Q1","TRAITEUR","QK",""
"","Q1","CHORIZO","QL",""
"","Q1","SAUCISSON","QM",""
"","Q1","LARDONS","QN",""
"","Q1","MORTADELLE","QO",""
"","Q1","SALAMI","QP",""
"","Q1","SAUCISSE","QQ",""
"","Q1","POITRINE FUMEE","QR",""
"","Q1","RILLETTE","QS",""
"","Q1","FOIE GRAS","RD",""
"","Q1","JAMBONS 1/CHOIX","RE",""
"","Q1","RILLETTE TERRINE","RG",""
"","Q9","PATE/MOUSSE","NS",""
"","Q9","POITRINE FUMEE","NT",""
"","Q9","MORTADELLE","PX",""
"","Q9","SAUCISSON AIL","QE",""
"","Q9","RILLETTES","RG",""
"","S1","CAILLES CONGELEES","NU",""
"","S1","CANARDS CONGELES","NV",""
"","S1","LAPINS CONGELES","NW",""
"","S1","POULES CONGELEES","NX",""
"","S1","POULETS CONGELES","NY",""
"","S1","POULETS","SA",""
"","S1","POULES","SB",""
"","S1","CANARDS","SC",""
"","S1","CAILLES","SD",""
"","S1","LAPINS","SE",""
"","S1","DECOUPES DE POULETS","SF",""
"","S1","DECOUPES DE DINDES","SG",""
"","S1","COQS COQUELETS","SH",""
"","S1","CUISSES GRENOUILLES","SI",""
"","S1","ESCARGOTS","SJ",""
"","S1","VOLAILLES CUISINEES","SK",""
"","S1","GIBIERS PLUMES.POILS","SL",""
"","S1","AUTRES VOLAILLES","SM",""
"","S2","FILET POISSON CONG.","NZ",""
"","S2","MAQUEREAU CONGELE","OA",""
"","S2","MOULES","OB",""
"","S2","CREVETTES CHEVRETTES","OC",""
"","S2","","QC",""
"","S2","CHAIR DE CRABE CONG.","RJ",""
"","S2","HUITRES","RK",""
"","S2","MORUE","RL",""
"","S2","OEUFS DE LUMP","RM",""
"","S3","FOIE","OD",""
"","S3","PIED DE VEAU CONGELE","OE",""
"","S3","","RN",""
"","S4","","OF",""
"","S4","","OI",""
"","S5","STEACK HACHE CONGELE","QA",""
"","S5","COTE VEAU CONGELEE","RO",""
"","S5","ENTRECOTE CONGELEE","RP",""
"","S5","ESCALOPE VEAU CONG.","RQ",""
"","S5","FAUX FILET CONGELE","RR",""
"","S5","","RS",""
"","S5","ROTI VEAU CONGELE","RT",""
"","S5","ROTI BOEUF CONGELE","RU",""
"","S5","STEACKS CONGELES","RV",""
"","S5","VIANDE ANIMAUX CONG","RW",""
"","S5","BAVETTE","TA",""
"","S5","BLANQUETTE VEAU CONG","TC",""
"","S5","BOURGUIGNON CONGELE","TD",""
"","S5","","TP",""
"","S6","COTE PORC CONGELE","OH",""
"","S6","","OI",""
"","S6","","TB",""
"","S7","","RX",""
"","S8","GITE NOIX SV","TE",""
"","X1","D/SNACK SURGELE","CM",""
"","X1","COQUILLE POIS.SURGEL","OJ",""
"","X1","CROQ.POISSON SURGELE","OK",""
"","X1","CREPES SURGELEES","OL",""
"","X1","DOUBLE SNACK","OM",""
"","X1","EPINARD SURGELE","ON",""
"","X1","PIZZA SURGELEE","OO",""
"","X1","POISSON CUISINE SURG","OP",""
"","X1","POISSON PANE SURGELE","OQ",""
"","X1","FILET POISSON SURG.","RY",""
"","X1","P.POIS SURGELES","RZ",""
"","X1","PATE SURGELEE","SA",""
"","X1","POMME TERRE SURGELEE","SB",""
"","X1","QUICHE LORRAINE SURG","SC",""
"","X1","SAUCES SURGELEES","SD",""
"","X1","TARTES SURGELEES","SE",""
"","X1","FEUILLETE SURGELE","SF",""
"","X1","","SG",""
"","X1","","ST",""
"","X3","","OR",""
"","X3","","OS",""
"","X3","","OT",""
"","X3","","OU",""
"","X3","","OV",""
"","X3","","OW",""
"","X3","","OX",""
"","X3","","OY",""
"","X3","","OZ",""
"","X3","","PA",""
"","X3","","PB",""
"","X3","","PC",""
"","X3","","PD",""
"","X3","","PF",""
"","X3","","PG",""
"","X3","","PH",""
"","X3","","PI",""
"","X3","","PJ",""
"","X3","","QZ",""
"","X3","","SH",""
"","X3","","SI",""
"","X3","","SK",""
"","X3","","SL",""
"","X3","1 LITRE","XA",""
"","X3","2 LITRES","XB",""
"","X3","2,5 LITRES","XC",""
"","X3","3 LITRES","XD",""
"","X3","6 LITRES","XF",""
"","X3","1/2 LITRE","XG",""
"","X3","1,25 LITRE","XH",""
"","X3","750 ML","XI",""
"","X3","BUCHES BUCHETTES","XJ",""
"","X3","CORNET ESQ CONE","XL",""
"","X3","CAFE CHOCO LIEGEOIS","XM",""
"","X3","MYSTERE","XN",""
"","X3","GRAND PACIFIC","XO",""
"","X3","GOURMAND","XP",""
"","X3","CROK FRUITS","XQ",""
"","X3","DOMES","XR",""
"","X5","POTAGES","PA",""
"","X5","MACED.JARD.LEGUMES","PB",""
"","X5","POELEE LEGUMES","PC",""
"","X5","RATATOUILLE","PD",""
"","X5","CONDIMENTS","PE",""
"","X5","CHAMPIGNONS","PF",""
"","X5","PUREE LEGUMES","PG",""
"","X5","PLATS CUISINES","PH",""
"","X5","BROCOLIS-MAIS","PI",""
"","X5","COURGETTES","PJ",""
"","X5","CAROTTE SURGELEE","PK",""
"","X5","HAR.VERT SURGELE","PL",""
"","X5","LEGUMES COUSCOUS","PM",""
"","X5","P.POIS SURGELES","PN",""
"","X5","POIREAU SURGELE","PO",""
"","X5","TOMATES-POIVRONS","PR",""
"","X5","CHOUX BRUXELLE SURG-","SM",""
"","X5","CHOUX FLEUR SURGELES","SN",""
"","X5","EPINARDS SURGELES","SO",""
"","X5","FLAGEOLET SURGELE","SP",""
"","X5","POIS CAROTTES SURG-","SQ",""
"","X5","POMME TERRE SURGELEE","SR",""
"","X5","SALSIFIS-CELERIS","SS",""
"","X7","FRITES SURGELEES","PP",""
"","X7","BEIGNETS SURGELES","PQ",""
"","X7","CHAMPIGNON SURGELE","PR",""
"","X7","JUS SURGELES","PS",""
"","X7","VIANDES PANEES SURG.","PT",""
"","X7","POMME TERRE SURGELEE","SR",""
"","X7","PIZZAS","ST",""
"","X7","FRUITS MER SURGELES","SU",""
"","X7","","SV",""
"","X7","FRUITS SURGELES","SW",""
"","X7","CHANTILLY SURGELEE","SZ",""
"","X8","1 LITRE","XA",""
"","X8","2 LITRES","XB",""
"","X8","5 LITRES","XE",""
"","X8","1/2 LITRE","XG",""
"","X8","PIMLICOS","XK",""
"","X8","CONES","XL",""
"","X8","FRUTTI","XT",""
"","X8","MIKOSTAR","XU",""
"","X9","GRATINS","AA",""
"","X9","PLATS CUISINES","AB",""
"","X9","TARTES + GALETTES","AC",""
"","X9","POISSONS CUISINES","AD",""
"","X9","COQUILLES","AE",""
"","X9","PATES+FRUITS CONGELE","AF",""
"","X9","CREPES+FEUILLETES","AG",""
"","X9","QUICHE + TOURTE","AH",""
"","X9","PIZZAS","OO",""
